,company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
284,ONX,ZOHO Data Analyst,2.8,Bengaluru,316571.0,Unknown,--,Private,Real Estate,Real Estate,2.7,3.0,2.7,2.7,2.7
285,Universal Electronics Inc.,Software Engineer (Data Science),3.5,Bengaluru,528092.0,201 to 500 Employees,--,Public,Electronics Manufacturing,Manufacturing,3.5,2.8,3.0,3.0,3.6
286,PepsiCo,Data Science Analyst,4.0,Hyderābād,968061.0,10000+ Employees,1965,Public,Food & Beverage Manufacturing,Manufacturing,3.8,3.9,3.9,3.6,3.5
287,Robas Research,Market Research Data Analyst,4.1,Bengaluru,509902.0,1 to 50 Employees,2012,Private,Information Technology Support Services,Information Technology,4.1,3.4,3.9,3.9,4.0
288,"Medpace, Inc.",Data Coordinator - Core Laboratory,3.4,Thāne,589237.0,5001 to 10000 Employees,1992,Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,3.3,3.0,3.2,3.0,3.2
289,Manupatra Information Solutions Pvt. Ltd.,Data Entry Operator (DEO),4.0,Noida,12500.0,51 to 200 Employees,2000,Private,Enterprise Software & Network Solutions,Information Technology,3.9,3.8,3.8,3.9,4.0
290,Good Business Lab,Data Associate,4.7,India,925000.0,51 to 200 Employees,2017,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,4.5,4.4,4.8,4.6,4.5
291,Travelopia,Business Analyst,4.1,Bengaluru,449374.0,1001 to 5000 Employees,2016,Private,Travel Agencies,Hotel & Travel Accommodation,3.7,3.8,4.0,3.7,4.1
292,Nielsen,"Big Data Engineers (Airflow, Python, Spark)",3.6,Bengaluru,407272.0,10000+ Employees,1923,Public,Enterprise Software & Network Solutions,Information Technology,3.2,3.2,3.7,3.1,3.8
293,Zeitview,Lead - ML data labelling,3.2,Bengaluru,444082.0,1 to 50 Employees,2014,Private,Internet & Web Services,Information Technology,3.0,2.7,3.3,3.1,3.6
294,Xplor,Data Analytics Engineer,3.4,Pune,611726.0,1001 to 5000 Employees,1994,Private,Software Development,Information Technology,3.2,3.4,3.2,2.8,3.6
295,JPMorgan Chase & Co,Client Data Analyst,4.0,Hyderābād,640045.0,10000+ Employees,1799,Public,Banking & Lending,Finance,4.0,3.9,3.9,3.6,3.7
296,Deliveroo,Data Scientist - Consumer,3.6,Hyderābād,645179.0,1001 to 5000 Employees,2013,Public,Internet & Web Services,Information Technology,3.1,3.3,3.6,3.1,3.8
